Subject ID,Release
sub-NDAREC182WW2,R1
sub-NDARED047DTH,R1
sub-NDAREE196FEG,R1
sub-NDAREF057VX5,R1
sub-NDAREH876HG2,R1
sub-NDAREH905REB,R1
sub-NDAREK375DKR,R1
sub-NDAREK544ENR,R1
sub-NDAREK918EC2,R1
sub-NDAREK947FYP,R1
sub-NDAREL622FA6,R1
sub-NDAREM018TJQ,R1
sub-NDAREM141CKP,R1
sub-NDARER840MKU,R1
sub-NDARET653TAM,R1
sub-NDARET893AK8,R1
sub-NDARET949LMU,R1
sub-NDAREU551GPC,R1
sub-NDAREV970HAN,R1
sub-NDAREW976FNL,R1
sub-NDAREX091KUR,R1
sub-NDAREY741MG9,R1
sub-NDAREZ098ZPE,R1
sub-NDARFA860RPD,R1
sub-NDARFB575BAT,R1
sub-NDARFE163HVN,R1
sub-NDARFG114VB1,R1
sub-NDARFH674DWX,R1
sub-NDARFJ100BDZ,R1
sub-NDARFJ302HVD,R1
sub-NDARFL411AT1,R1
sub-NDARFM080VAF,R1
sub-NDARFN452VPC,R1
sub-NDARFT834NT1,R1
sub-NDARFW292PBD,R1
sub-NDARFW444PN1,R1
sub-NDARFX721WR8,R1
sub-NDARFY075REK,R1
sub-NDARFY612EMR,R1
sub-NDARFZ296UNG,R1
sub-NDARGC521HNP,R1
sub-NDARGE366WNC,R1
sub-NDARGE536BGD,R1
sub-NDARGH407KVG,R1
sub-NDARGH492CF1,R1
sub-NDARGJ761GA8,R1
sub-NDARGL107GFK,R1
sub-NDARGL834CMQ,R1
sub-NDARGL963HU4,R1
sub-NDARGM498YFL,R1
sub-NDARGM540EV8,R1
sub-NDARGN148MK2,R1
sub-NDARGR661YZG,R1
sub-NDARGR875AXY,R1
sub-NDARGT022BEW,R1
sub-NDARGT267UZR,R1
sub-NDARGU100JH4,R1
sub-NDARGU485JJA,R1
sub-NDARGU667MCK,R1
sub-NDARGV956EGX,R1
sub-NDARGW362UJZ,R1
sub-NDARGY054ENV,R1
sub-NDARGY148EVU,R1
sub-NDARHB000YF8,R1
sub-NDARHB772TE5,R1
sub-NDARHB781DD8,R1
sub-NDARHB993EV0,R1
sub-NDARHC287ZF4,R1
sub-NDARHC737MHK,R1
sub-NDARHD059PEQ,R1
sub-NDARHE236YLB,R1
sub-NDARHF269ATU,R1
sub-NDARHF904CWB,R1
sub-NDARHJ126UW2,R1
sub-NDARHJ523XGB,R1
sub-NDARHK598YJC,R1
sub-NDARHL238VL2,R1
sub-NDARHM273AXL,R1
sub-NDARHN131ZP6,R1
sub-NDARHP176DPE,R1
sub-NDARHP558MGA,R1
sub-NDARHR944BBY,R1
sub-NDARHT218GFA,R1
sub-NDARHU391FD7,R1
sub-NDARHV527DNK,R1
sub-NDARHW650FXU,R1
sub-NDARHW718DTW,R1
sub-NDARHX739YBW,R1
sub-NDARHX877BLQ,R1
sub-NDARHZ439EBY,R1
sub-NDARJD282HJ4,R1
sub-NDARJE086YU0,R1
sub-NDARJF045MHG,R1
sub-NDARJH441HJD,R1
sub-NDARJH925ZCD,R1
sub-NDARJJ356DAL,R1
sub-NDARJJ859RRW,R1
sub-NDARJL058RDV,R1
sub-NDARJM708VGE,R1
sub-NDARJM759GYH,R1
sub-NDARJP489HCE,R1
sub-NDARJR525HTX,R1
sub-NDARJR687LGX,R1
sub-NDARJT523MV7,R1
sub-NDARJT730WP0,R1
sub-NDARJU766FBU,R1
sub-NDARJW315BUA,R1
sub-NDARJX421FWR,R1
sub-NDARJZ549HU8,R1
sub-NDARJZ715FE8,R1
sub-NDARKA429EPF,R1
sub-NDARKE331EHD,R1
sub-NDARKG785VAJ,R1
sub-NDARKG859AGN,R1
sub-NDARKH421UB1,R1
sub-NDARKL637YBF,R1
sub-NDARKM497VKX,R1
sub-NDARKM551DA4,R1
sub-NDARKR010EN7,R1
sub-NDARKR195PL9,R1
sub-NDARKU043JMU,R1
sub-NDARKW145LNX,R1
sub-NDARKX346VTV,R1
sub-NDARKX761BH9,R1
sub-NDARLA395AG8,R1
sub-NDARLA516PH1,R1
sub-NDARLA623HN3,R1
sub-NDARLB017MBJ,R1
sub-NDARLB629BJ1,R1
sub-NDARLC358CYJ,R1
sub-NDARLC868GLL,R1
sub-NDARLD990NH4,R1
sub-NDARLE953JYU,R1
sub-NDARLF283KJX,R1
sub-NDARLF480DMW,R1
sub-NDARLG027HUK,R1
sub-NDARLG890JDU,R1
sub-NDARLG942AZ1,R1
sub-NDARLJ311YNA,R1
sub-NDARLJ549WTT,R1
sub-NDARLV086DEH,R1
sub-NDARLW308UR0,R1
sub-NDARLX816JUZ,R1
sub-NDARLY067FD6,R1
sub-NDARLZ104NDT,R1
sub-NDARLZ228PCB,R1
sub-NDARMC759CX3,R1
sub-NDARME656MTN,R1
sub-NDARME930DE7,R1
sub-NDARMG278GYH,R1
sub-NDARMH625WKL,R1
sub-NDARMH677JDM,R1
sub-NDARMH763YZD,R1
sub-NDARMJ219AKU,R1
sub-NDARML148UCE,R1
sub-NDARML926NEG,R1
sub-NDARMM782KJK,R1
sub-NDARMM878ZR1,R1
sub-NDARMM905VYR,R1
sub-NDARMM990URX,R1
sub-NDARMR242UKQ,R1
sub-NDARMR277TT7,R1
sub-NDARMT271DT6,R1
sub-NDARMT898BME,R1
sub-NDARMU269TFY,R1
sub-NDARMV247HRA,R1
sub-NDARMV410ZFY,R1
sub-NDARMW178UDD,R1
sub-NDARMW252AJW,R1
sub-NDARMY301WFK,R1
sub-NDARMY533CYM,R1
sub-NDARMY967HNA,R1
sub-NDARMZ908DUR,R1
sub-NDARNB824ARJ,R1
sub-NDARNE767VAJ,R1
sub-NDARNF384JN0,R1
sub-NDARNF766VW2,R1
sub-NDARNF954MK3,R1
sub-NDARNF994TPA,R1
sub-NDARNG689AAP,R1
sub-NDARNJ894VH2,R1
sub-NDARNL599TMZ,R1
sub-NDARNM624PDC,R1
sub-NDARNM834MY9,R1
sub-NDARNN218UGY,R1
sub-NDARNP399JVF,R1
sub-NDARNP939DDQ,R1
sub-NDARNT042GRA,R1
sub-NDARNT572CMD,R1
sub-NDARNT939YMG,R1
sub-NDARNU249EDF,R1
sub-NDARNU282ZYZ,R1
sub-NDARNW182PJC,R1
sub-NDARNW218ZBU,R1
sub-NDARNW797PD6,R1
sub-NDARNX795LFK,R1
sub-NDARNY964EA0,R1
sub-NDARPD977VX2,R1
sub-NDARPE596LZL,R1
sub-NDARPF179GNV,R1
sub-NDARPK339NA6,R1
sub-NDARPL721WTD,R1
sub-NDARPM105MKA,R1
sub-NDARPP703NX4,R1
sub-NDARPV249ZRF,R1
sub-NDARPW482TVE,R1
sub-NDARPX155RF3,R1
sub-NDARPX244EHJ,R1
sub-NDARPZ621ZLE,R1
sub-NDARRA314KW4,R1
sub-NDARRA733VWX,R1
sub-NDARRC819NLC,R1
sub-NDARRD720XZK,R1
sub-NDARRE333EKT,R1
sub-NDARRG199RU4,R1
sub-NDARRG415BJM,R1
sub-NDARRG735TU5,R1
sub-NDARRH725XYA,R1
sub-NDARRJ728NMD,R1
sub-NDARRK457MBX,R1
sub-NDARRN619WHY,R1
sub-NDARRP592GHK,R1
sub-NDARRU501YED,R1
sub-NDARRV638MJV,R1
sub-NDARRW100AU0,R1
sub-NDARRY112RAK,R1
sub-NDARRZ199KNG,R1
sub-NDARRZ979FZ4,R1
sub-NDARTA808DEQ,R1
sub-NDARTB552HP0,R1
sub-NDARTD640PC5,R1
sub-NDARTF833WXB,R1
sub-NDARTG464MWG,R1
sub-NDARTG810FRE,R1
sub-NDARTH610GMK,R1
sub-NDARTJ418GP0,R1
sub-NDARTK185PBH,R1
sub-NDARTK657DV6,R1
sub-NDARTL336THT,R1
sub-NDARTP190KAN,R1
sub-NDARTR365NCY,R1
sub-NDARTR811WH9,R1
sub-NDARTR840XP1,R1
sub-NDARTT242GNN,R1
sub-NDARTU768MY1,R1
sub-NDARTW939GJF,R1
sub-NDARTX012JHM,R1
sub-NDARUA421HT8,R1
sub-NDARUD764NFJ,R1
sub-NDARUE533XNH,R1
sub-NDARUF069EHR,R1
sub-NDARUF389TXE,R1
sub-NDARUF935UL3,R1
sub-NDARUG507AZX,R1
sub-NDARUJ646APQ,R1
sub-NDARUJ962NZB,R1
sub-NDARUL341DD2,R1
sub-NDARUL881JR9,R1
sub-NDARUM569EV1,R1
sub-NDARUM991EE8,R1
sub-NDARUP101NXA,R1
sub-NDARUV263YB5,R1
sub-NDARUV418FB8,R1
sub-NDARUX114RGJ,R1
sub-NDARUY876VL1,R1
sub-NDARVB607WW4,R1
sub-NDARVB811FVD,R1
sub-NDARVC246ZY8,R1
sub-NDARVD547NLC,R1
sub-NDARVE724GEF,R1
sub-NDARVG148WHV,R1
sub-NDARVG436WGG,R1
sub-NDARVG461LA2,R1
sub-NDARVG618BM6,R1
sub-NDARVG971CHH,R1
sub-NDARVH070WH6,R1
sub-NDARVJ504DAA,R1
sub-NDARVM685MER,R1
sub-NDARVN415VF6,R1
sub-NDARVN469KP6,R1
sub-NDARVN646NZP,R1
sub-NDARVN666JV7,R1
sub-NDARVP281CJ4,R1
sub-NDARVV248VW0,R1
sub-NDARVX162AZU,R1
sub-NDARVX292KKC,R1
sub-NDARWB124EMA,R1
sub-NDARWB685NUG,R1
sub-NDARWC737UJ0,R1
sub-NDARWC925WDX,R1
sub-NDARWF122UUJ,R1
sub-NDARWG831JJ8,R1
sub-NDARWJ019VGU,R1
sub-NDARWJ087HKJ,R1
sub-NDARWK065NJ9,R1
sub-NDARWM319UU2,R1
sub-NDARWM654UTC,R1
sub-NDARWR881WMX,R1
sub-NDARWV155PRG,R1
sub-NDARWV677EFC,R1
sub-NDARWW901MTC,R1
sub-NDARWX033HYK,R1
sub-NDARWX380JJK,R1
sub-NDARWY198BVY,R1
sub-NDARWZ283CWB,R1
sub-NDARWZ709DLY,R1
sub-NDARXB704HFD,R1
sub-NDARXC418YG7,R1
sub-NDARXC534KT4,R1
sub-NDARXC826NW7,R1
sub-NDARXC878WB2,R1
sub-NDARXD325BGG,R1
sub-NDARXE684LUY,R1
sub-NDARXF441RHQ,R1
sub-NDARXF623GEL,R1
sub-NDARXF956ZU6,R1
sub-NDARXH017ZLE,R1
sub-NDARXJ468UGL,R1
sub-NDARXJ696AMX,R1
sub-NDARXK164TNN,R1
sub-NDARXK462WRZ,R1
sub-NDARXL523GHX,R1
sub-NDARXM398VU8,R1
sub-NDARXN047RUT,R1
sub-NDARXN719LXU,R1
sub-NDARXU679ZE8,R1
sub-NDARXU715EGL,R1
sub-NDARXW933TUJ,R1
sub-NDARXX895FNJ,R1
sub-NDARXY337ZH9,R1
sub-NDARYA496WZD,R1
sub-NDARYB204HKD,R1
sub-NDARYE814TBX,R1
sub-NDARYH110YV9,R1
sub-NDARYH480GTD,R1
sub-NDARYH996DA9,R1
sub-NDARYJ389DWX,R1
sub-NDARYJ536MCR,R1
sub-NDARYK942YHY,R1
sub-NDARYL272HDW,R1
sub-NDARYL438DCK,R1
sub-NDARYM257RR6,R1
sub-NDARYM832PX3,R1
sub-NDARYN484LLR,R1
sub-NDARYP516VUU,R1
sub-NDARYR538EP0,R1
sub-NDARYR771VED,R1
sub-NDARYT389KC1,R1
sub-NDARYU323ZDJ,R1
sub-NDARYU620RH9,R1
sub-NDARYW903VN8,R1
sub-NDARYX551LBY,R1
sub-NDARYY218AGA,R1
sub-NDARYZ143NTF,R1
sub-NDARYZ408VWW,R1
sub-NDARZA694WHF,R1
sub-NDARZB377WZJ,R1
sub-NDARZD991YLG,R1
sub-NDARZE542ZVH,R1
sub-NDARZF949WTW,R1
sub-NDARZG263HRK,R1
sub-NDARZH451LRZ,R1
sub-NDARZH517ZVK,R1
sub-NDARZH629NVF,R1
sub-NDARZJ460RWZ,R1
sub-NDARZJ607YLU,R1
sub-NDARZL724HAX,R1
sub-NDARZN899JCM,R1
sub-NDARZP564MHU,R1
sub-NDARZR567HWG,R1
sub-NDARZT772PU4,R1
sub-NDARZV766YXP,R1
sub-NDARZW013RUH,R1
sub-NDARZY019GNZ,R1
sub-NDARAN814UPR,R2
sub-NDARFK477WX9,R2
sub-NDARHJ945PV0,R2
sub-NDARRZ653HKY,R2
sub-NDARRC190NKB,R3
